"dep","dur","mem","wday","temp","prec","rushhour"
2021-05-28 07:56:26,2573,0,"Friday",7.8,0,1
2021-05-28 07:04:16,602,0,"Friday",7.8,0,1
2021-05-21 07:50:03,1131,0,"Friday",25.3,0,1
2021-05-28 08:36:47,782,0,"Friday",7.8,0,1
2021-05-07 08:50:12,690,0,"Friday",9.7,0,1
2021-05-07 11:03:24,969,0,"Friday",9.7,0,3
2021-05-07 14:41:19,481,0,"Friday",9.7,0,3
2021-05-14 19:27:44,499,0,"Friday",17.8,0,3
2021-05-28 22:38:20,1790,0,"Friday",7.8,0,3
2021-05-21 12:18:40,3523,0,"Friday",25.3,0,3
2021-05-07 18:57:56,3201,0,"Friday",9.7,0,2
2021-05-21 16:32:49,1534,0,"Friday",25.3,0,2
2021-05-21 18:58:04,528,0,"Friday",25.3,0,2
2021-05-28 16:50:32,580,0,"Friday",7.8,0,2
2021-05-28 18:33:13,857,0,"Friday",7.8,0,2
2021-06-18 08:42:55,1202,0,"Friday",21.2,4.8,1
2021-06-04 08:19:07,1632,0,"Friday",22,0,1
2021-06-11 09:44:54,654,0,"Friday",19.7,0.2,1
2021-06-18 09:50:50,658,0,"Friday",21.2,4.8,1
2021-06-18 09:05:33,1225,0,"Friday",21.2,4.8,1
2021-06-18 12:21:41,995,0,"Friday",21.2,4.8,3
2021-06-04 19:33:39,929,0,"Friday",22,0,3
2021-06-18 02:45:41,2439,0,"Friday",21.2,4.8,3
2021-06-25 01:34:52,548,0,"Friday",22.2,0,3
2021-06-11 12:47:56,4963,0,"Friday",19.7,0.2,3
2021-06-18 16:32:37,570,0,"Friday",21.2,4.8,2
2021-06-25 15:01:29,1616,0,"Friday",22.2,0,2
2021-06-11 18:16:18,3170,0,"Friday",19.7,0.2,2
2021-06-18 15:34:11,2168,0,"Friday",21.2,4.8,2
2021-06-04 18:09:43,1103,0,"Friday",22,0,2
2021-07-02 08:48:29,723,0,"Friday",17.6,0,1
2021-07-02 09:13:38,537,0,"Friday",17.6,0,1
2021-07-02 08:02:43,888,0,"Friday",17.6,0,1
2021-07-23 08:45:19,788,0,"Friday",21,0,1
2021-07-09 08:50:06,509,0,"Friday",18.1,0,1
2021-07-02 10:41:10,965,0,"Friday",17.6,0,3
2021-07-23 03:41:42,721,0,"Friday",21,0,3
2021-07-02 12:25:01,765,0,"Friday",17.6,0,3
2021-07-02 19:12:15,1976,0,"Friday",17.6,0,3
2021-07-09 23:19:24,241,0,"Friday",18.1,0,3
2021-07-23 15:48:38,248,0,"Friday",21,0,2
2021-07-02 17:20:33,1344,0,"Friday",17.6,0,2
2021-07-23 15:51:03,2018,0,"Friday",21,0,2
2021-07-02 15:23:43,368,0,"Friday",17.6,0,2
2021-07-23 18:43:21,1198,0,"Friday",21,0,2
2021-08-27 07:29:32,701,0,"Friday",21.2,0,1
2021-08-27 07:05:13,419,0,"Friday",21.2,0,1
2021-08-20 09:35:26,985,0,"Friday",25.9,0,1
2021-08-27 09:38:43,1231,0,"Friday",21.2,0,1
2021-08-27 08:47:12,952,0,"Friday",21.2,0,1
2021-08-27 13:09:08,1196,0,"Friday",21.2,0,3
2021-08-13 11:57:38,2294,0,"Friday",27,0.2,3
2021-08-27 21:11:35,754,0,"Friday",21.2,0,3
2021-08-27 13:15:29,1027,0,"Friday",21.2,0,3
2021-08-13 10:10:28,713,0,"Friday",27,0.2,3
2021-08-13 16:51:31,1644,0,"Friday",27,0.2,2
2021-08-20 16:42:47,3479,0,"Friday",25.9,0,2
2021-08-20 15:22:38,432,0,"Friday",25.9,0,2
2021-08-06 18:56:00,1924,0,"Friday",25.1,0.2,2
2021-08-27 15:40:18,1806,0,"Friday",21.2,0,2
2021-09-10 08:55:24,514,0,"Friday",17.1,0.3,1
2021-09-17 08:50:25,303,0,"Friday",19.8,0,1
2021-09-10 09:10:51,652,0,"Friday",17.1,0.3,1
2021-09-10 08:34:13,2577,0,"Friday",17.1,0.3,1
2021-09-17 09:19:45,743,0,"Friday",19.8,0,1
2021-09-17 01:59:17,1394,0,"Friday",19.8,0,3
2021-09-03 19:07:47,1207,0,"Friday",18,0,3
2021-09-24 21:42:40,701,0,"Friday",18.3,26.5,3
2021-09-03 12:03:46,1091,0,"Friday",18,0,3
2021-09-03 11:31:04,880,0,"Friday",18,0,3
2021-09-03 17:46:24,299,0,"Friday",18,0,2
2021-09-24 15:03:12,1858,0,"Friday",18.3,26.5,2
2021-09-24 15:31:21,590,0,"Friday",18.3,26.5,2
2021-09-03 17:47:12,401,0,"Friday",18,0,2
2021-09-10 15:59:51,1243,0,"Friday",17.1,0.3,2
2021-10-22 09:46:49,892,0,"Friday",8.7,13.8,1
2021-10-22 08:23:42,504,0,"Friday",8.7,13.8,1
2021-10-01 06:30:44,230,0,"Friday",12.5,0,1
2021-10-15 08:25:11,187,0,"Friday",18.4,0,1
2021-10-01 06:44:49,334,0,"Friday",12.5,0,1
2021-10-15 19:31:12,554,0,"Friday",18.4,0,3
2021-10-29 11:30:39,249,0,"Friday",7.8,0,3
2021-10-15 02:11:57,3366,0,"Friday",18.4,0,3
2021-10-15 19:46:01,233,0,"Friday",18.4,0,3
2021-10-29 14:27:43,1863,0,"Friday",7.8,0,3
2021-10-29 17:07:29,582,0,"Friday",7.8,0,2
2021-10-08 18:02:25,1391,0,"Friday",15.4,0,2
2021-10-08 15:42:55,1567,0,"Friday",15.4,0,2
2021-10-15 16:32:08,371,0,"Friday",18.4,0,2
2021-10-22 18:24:30,1203,0,"Friday",8.7,13.8,2
2021-05-17 09:35:41,625,0,"Monday",17.9,0.2,1
2021-05-24 08:18:55,2608,0,"Monday",14.4,0,1
2021-05-03 09:12:02,1667,0,"Monday",7.6,0,1
2021-05-24 09:23:39,374,0,"Monday",14.4,0,1
2021-05-31 07:27:18,904,0,"Monday",15.7,0,1
2021-05-17 19:01:33,800,0,"Monday",17.9,0.2,3
2021-05-17 19:17:30,1795,0,"Monday",17.9,0.2,3
2021-05-17 21:40:13,1182,0,"Monday",17.9,0.2,3
2021-05-03 14:20:42,2574,0,"Monday",7.6,0,3
2021-05-17 19:54:27,147,0,"Monday",17.9,0.2,3
2021-05-17 17:49:29,643,0,"Monday",17.9,0.2,2
2021-05-24 18:02:26,935,0,"Monday",14.4,0,2
2021-05-10 17:15:53,3946,0,"Monday",11.4,0,2
2021-05-17 16:51:55,733,0,"Monday",17.9,0.2,2
2021-05-24 17:38:17,3058,0,"Monday",14.4,0,2
2021-06-21 08:18:37,1161,0,"Monday",24.1,2.9,1
2021-06-07 09:53:21,552,0,"Monday",27.6,0,1
2021-06-14 08:49:40,321,0,"Monday",20.6,7.8,1
2021-06-14 09:19:42,990,0,"Monday",20.6,7.8,1
2021-06-07 07:53:24,545,0,"Monday",27.6,0,1
2021-06-07 23:04:49,497,0,"Monday",27.6,0,3
2021-06-07 10:57:31,2279,0,"Monday",27.6,0,3
2021-06-21 19:30:45,714,0,"Monday",24.1,2.9,3
2021-06-14 22:41:16,1218,0,"Monday",20.6,7.8,3
2021-06-14 21:48:34,3843,0,"Monday",20.6,7.8,3
