"dep","dur","mem","wday","temp","prec","rushhour"
2021-05-14 09:24:29,1565,0,"Friday",17.8,0,1
2021-05-21 06:46:01,280,0,"Friday",25.3,0,1
2021-05-14 09:23:54,365,0,"Friday",17.8,0,1
2021-05-21 08:22:12,3140,0,"Friday",25.3,0,1
2021-05-21 08:26:42,1485,0,"Friday",25.3,0,1
2021-05-21 19:40:18,1252,0,"Friday",25.3,0,3
2021-05-28 20:00:29,1669,0,"Friday",7.8,0,3
2021-05-07 12:46:02,813,0,"Friday",9.7,0,3
2021-05-07 14:54:58,2480,0,"Friday",9.7,0,3
2021-05-28 23:26:26,703,0,"Friday",7.8,0,3
2021-05-14 18:36:26,1326,0,"Friday",17.8,0,2
2021-05-21 17:16:43,1353,0,"Friday",25.3,0,2
2021-05-07 16:39:04,2092,0,"Friday",9.7,0,2
2021-05-21 17:19:30,1294,0,"Friday",25.3,0,2
2021-05-07 16:08:47,366,0,"Friday",9.7,0,2
2021-06-11 08:12:56,483,0,"Friday",19.7,0.2,1
2021-06-11 07:55:08,614,0,"Friday",19.7,0.2,1
2021-06-18 08:36:36,431,0,"Friday",21.2,4.8,1
2021-06-25 08:03:40,427,0,"Friday",22.2,0,1
2021-06-18 07:17:43,503,0,"Friday",21.2,4.8,1
2021-06-18 00:36:48,924,0,"Friday",21.2,4.8,3
2021-06-04 21:32:08,1011,0,"Friday",22,0,3
2021-06-11 00:28:20,558,0,"Friday",19.7,0.2,3
2021-06-25 00:34:05,1071,0,"Friday",22.2,0,3
2021-06-11 14:54:47,1586,0,"Friday",19.7,0.2,3
2021-06-04 18:54:33,2133,0,"Friday",22,0,2
2021-06-11 15:27:50,429,0,"Friday",19.7,0.2,2
2021-06-04 18:38:13,1534,0,"Friday",22,0,2
2021-06-25 16:11:18,269,0,"Friday",22.2,0,2
2021-06-04 16:53:57,935,0,"Friday",22,0,2
2021-07-02 06:03:24,336,0,"Friday",17.6,0,1
2021-07-16 09:48:05,340,0,"Friday",22,0,1
2021-07-30 09:17:15,706,0,"Friday",16.5,0,1
2021-07-02 08:32:16,181,0,"Friday",17.6,0,1
2021-07-30 09:45:15,847,0,"Friday",16.5,0,1
2021-07-30 11:21:27,454,0,"Friday",16.5,0,3
2021-07-23 14:59:46,257,0,"Friday",21,0,3
2021-07-16 21:31:28,778,0,"Friday",22,0,3
2021-07-02 22:03:57,772,0,"Friday",17.6,0,3
2021-07-02 10:30:10,360,0,"Friday",17.6,0,3
2021-07-30 16:04:31,299,0,"Friday",16.5,0,2
2021-07-23 16:48:13,871,0,"Friday",21,0,2
2021-07-02 16:42:36,2552,0,"Friday",17.6,0,2
2021-07-23 17:51:51,680,0,"Friday",21,0,2
2021-07-30 16:53:24,941,0,"Friday",16.5,0,2
2021-08-20 08:43:41,723,0,"Friday",25.9,0,1
2021-08-20 08:43:38,1784,0,"Friday",25.9,0,1
2021-08-20 07:40:49,503,0,"Friday",25.9,0,1
2021-08-20 08:00:12,376,0,"Friday",25.9,0,1
2021-08-20 06:57:26,515,0,"Friday",25.9,0,1
2021-08-13 19:11:46,707,0,"Friday",27,0.2,3
2021-08-27 21:59:23,397,0,"Friday",21.2,0,3
2021-08-13 23:48:31,376,0,"Friday",27,0.2,3
2021-08-27 23:42:36,954,0,"Friday",21.2,0,3
2021-08-13 23:05:37,450,0,"Friday",27,0.2,3
2021-08-20 16:06:31,895,0,"Friday",25.9,0,2
2021-08-13 16:49:06,3733,0,"Friday",27,0.2,2
2021-08-20 15:40:16,456,0,"Friday",25.9,0,2
2021-08-20 17:08:43,790,0,"Friday",25.9,0,2
2021-08-06 17:05:39,1275,0,"Friday",25.1,0.2,2
2021-09-03 09:03:23,115,0,"Friday",18,0,1
2021-09-10 07:48:13,670,0,"Friday",17.1,0.3,1
2021-09-10 08:28:59,362,0,"Friday",17.1,0.3,1
2021-09-10 09:22:39,289,0,"Friday",17.1,0.3,1
2021-09-17 09:37:31,490,0,"Friday",19.8,0,1
2021-09-10 22:04:01,912,0,"Friday",17.1,0.3,3
2021-09-17 22:26:04,929,0,"Friday",19.8,0,3
2021-09-24 13:04:03,1267,0,"Friday",18.3,26.5,3
2021-09-24 11:44:49,435,0,"Friday",18.3,26.5,3
2021-09-03 21:10:32,480,0,"Friday",18,0,3
2021-09-24 17:22:44,1317,0,"Friday",18.3,26.5,2
2021-09-24 17:40:21,1168,0,"Friday",18.3,26.5,2
2021-09-10 15:20:30,458,0,"Friday",17.1,0.3,2
2021-09-17 15:15:27,511,0,"Friday",19.8,0,2
2021-09-24 15:02:00,330,0,"Friday",18.3,26.5,2
2021-10-29 08:15:10,660,0,"Friday",7.8,0,1
2021-10-29 09:07:47,394,0,"Friday",7.8,0,1
2021-10-01 08:52:47,874,0,"Friday",12.5,0,1
2021-10-01 09:23:09,370,0,"Friday",12.5,0,1
2021-10-22 09:23:04,550,0,"Friday",8.7,13.8,1
2021-10-01 01:14:10,344,0,"Friday",12.5,0,3
2021-10-08 00:20:05,672,0,"Friday",15.4,0,3
2021-10-08 22:25:22,795,0,"Friday",15.4,0,3
2021-10-08 19:51:57,961,0,"Friday",15.4,0,3
2021-10-22 00:22:09,599,0,"Friday",8.7,13.8,3
2021-10-22 15:11:40,620,0,"Friday",8.7,13.8,2
2021-10-22 15:53:09,446,0,"Friday",8.7,13.8,2
2021-10-22 17:29:25,554,0,"Friday",8.7,13.8,2
2021-10-01 18:13:56,598,0,"Friday",12.5,0,2
2021-10-08 17:07:22,943,0,"Friday",15.4,0,2
2021-05-03 07:31:54,473,0,"Monday",7.6,0,1
2021-05-17 07:21:01,1355,0,"Monday",17.9,0.2,1
2021-05-24 08:57:35,484,0,"Monday",14.4,0,1
2021-05-31 09:29:22,470,0,"Monday",15.7,0,1
2021-05-31 09:12:55,1429,0,"Monday",15.7,0,1
2021-05-24 10:53:37,749,0,"Monday",14.4,0,3
2021-05-31 21:22:23,849,0,"Monday",15.7,0,3
2021-05-10 14:02:37,1779,0,"Monday",11.4,0,3
2021-05-10 14:23:06,2045,0,"Monday",11.4,0,3
2021-05-10 19:19:24,751,0,"Monday",11.4,0,3
2021-05-31 17:52:41,176,0,"Monday",15.7,0,2
2021-05-10 17:28:12,1093,0,"Monday",11.4,0,2
2021-05-17 17:24:51,1406,0,"Monday",17.9,0.2,2
2021-05-31 18:12:21,754,0,"Monday",15.7,0,2
2021-05-17 16:39:57,908,0,"Monday",17.9,0.2,2
2021-06-07 09:45:31,315,0,"Monday",27.6,0,1
2021-06-28 08:53:45,460,0,"Monday",27,2.3,1
2021-06-21 08:51:16,314,0,"Monday",24.1,2.9,1
2021-06-14 09:26:02,2389,0,"Monday",20.6,7.8,1
2021-06-28 06:06:34,932,0,"Monday",27,2.3,1
2021-06-28 21:55:33,993,0,"Monday",27,2.3,3
2021-06-14 21:54:06,184,0,"Monday",20.6,7.8,3
2021-06-21 20:33:47,286,0,"Monday",24.1,2.9,3
2021-06-28 21:31:05,638,0,"Monday",27,2.3,3
2021-06-21 21:22:40,713,0,"Monday",24.1,2.9,3
2021-06-21 15:39:43,1282,0,"Monday",24.1,2.9,2
2021-06-21 16:47:14,1251,0,"Monday",24.1,2.9,2
2021-06-21 16:04:05,655,0,"Monday",24.1,2.9,2
2021-06-21 15:40:54,455,0,"Monday",24.1,2.9,2
2021-06-28 17:16:05,999,0,"Monday",27,2.3,2
2021-07-26 07:27:24,400,0,"Monday",23.5,0,1
2021-07-26 08:35:31,312,0,"Monday",23.5,0,1
2021-07-19 07:49:13,537,0,"Monday",23.3,0,1
2021-07-12 08:31:39,106,0,"Monday",23.1,0,1
2021-07-05 07:47:57,547,0,"Monday",20.2,0,1
2021-07-12 19:49:28,623,0,"Monday",23.1,0,3
2021-07-19 14:32:24,216,0,"Monday",23.3,0,3
2021-07-05 23:36:33,1807,0,"Monday",20.2,0,3
2021-07-19 19:10:35,1434,0,"Monday",23.3,0,3
2021-07-26 13:43:05,805,0,"Monday",23.5,0,3
2021-07-12 18:16:25,546,0,"Monday",23.1,0,2
2021-07-05 16:28:02,689,0,"Monday",20.2,0,2
2021-07-26 15:52:24,2117,0,"Monday",23.5,0,2
2021-07-19 17:20:05,904,0,"Monday",23.3,0,2
2021-07-12 15:14:32,2192,0,"Monday",23.1,0,2
2021-08-09 08:28:35,1068,0,"Monday",25.2,0.2,1
2021-08-09 09:23:25,273,0,"Monday",25.2,0.2,1
2021-08-09 08:58:50,531,0,"Monday",25.2,0.2,1
2021-08-30 08:11:24,717,0,"Monday",24.8,5.3,1
2021-08-23 07:09:59,1553,0,"Monday",26.7,0,1
2021-08-02 21:04:13,669,0,"Monday",18.8,0,3
2021-08-30 21:12:22,1236,0,"Monday",24.8,5.3,3
2021-08-30 19:49:18,2439,0,"Monday",24.8,5.3,3
2021-08-02 21:12:42,1422,0,"Monday",18.8,0,3
2021-08-02 21:21:48,1053,0,"Monday",18.8,0,3
2021-08-16 16:41:20,2661,0,"Monday",19.5,0,2
2021-08-30 15:09:14,1480,0,"Monday",24.8,5.3,2
2021-08-02 15:37:11,1449,0,"Monday",18.8,0,2
2021-08-23 16:48:22,2366,0,"Monday",26.7,0,2
2021-08-30 15:31:00,279,0,"Monday",24.8,5.3,2
2021-09-13 07:43:08,280,0,"Monday",17.3,0.2,1
2021-09-20 09:48:26,1002,0,"Monday",17.3,0,1
2021-09-13 08:05:32,840,0,"Monday",17.3,0.2,1
2021-09-13 09:18:29,1439,0,"Monday",17.3,0.2,1
2021-09-20 07:45:18,654,0,"Monday",17.3,0,1
2021-09-06 01:19:50,818,0,"Monday",17.4,6.3,3
2021-09-20 19:34:52,3451,0,"Monday",17.3,0,3
